@relation final_nominal_st
@attribute course {29,46,88,110,111}
@attribute n_assignment integer [0, 13]
@attribute n_assignment_s integer [0, 13]
@attribute n_posts integer [0, 10]
@attribute n_read integer [0, 7]
@attribute n_quiz integer [0, 13]
@attribute n_quiz_a integer [0, 9]
@attribute n_quiz_s integer [0, 8]
@attribute n_messages_ap {0,1,2}
@attribute nota {SUSPENSO,NOTABLE,SOBRESALIENTE,APROBADO}
@inputs course,n_assignment,n_assignment_s,n_posts,n_read,n_quiz,n_quiz_a,n_quiz_s,n_messages_ap
@outputs nota
@data
29,0,0,0,0,0,0,0,1,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,2,0,0,0,0,0,APROBADO
29,2,2,1,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,1,1,3,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,3,3,1,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,APROBADO
29,1,1,2,0,0,0,0,0,APROBADO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,10,0,0,0,0,0,SUSPENSO
29,0,0,3,0,0,0,0,0,SUSPENSO
29,1,1,3,0,0,0,0,0,SUSPENSO
29,1,1,2,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,4,4,1,0,0,0,0,0,SUSPENSO
29,1,1,3,0,0,0,0,0,APROBADO
29,1,1,1,0,0,0,0,0,SUSPENSO
29,2,2,0,0,0,0,0,0,APROBADO
29,2,2,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,APROBADO
29,1,1,0,0,0,0,0,0,APROBADO
29,1,1,2,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,1,1,0,7,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,2,2,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,2,7,0,0,0,1,APROBADO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SOBRESALIENTE
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,1,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,2,2,4,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,APROBADO
29,0,0,0,7,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,2,2,0,0,0,0,0,0,APROBADO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,APROBADO
29,0,0,1,0,0,0,0,0,APROBADO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,2,2,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,2,2,0,0,0,0,0,0,APROBADO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,SUSPENSO
29,1,1,1,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,0,0,0,0,0,0,0,0,SUSPENSO
29,1,1,0,0,0,0,0,0,APROBADO
29,2,2,1,0,0,0,0,0,SUSPENSO
